format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp64,mpfr,mul,8.0377,124413718,0.069,64,64,618377,0.3181
fp64,mpfr+754,mul,20.9225,47795542,0.180,64,64,215416,0.2884
fp64,cpu-hw,mul,0.1372,7290479515,0.001,64,64,1048576,0.0092
fp64,libcft,fma,129.8440,7701547,1.000,64,64,37101,0.3083
fp64,mpfr,fma,17.4806,57206236,0.135,64,64,262144,0.2933
fp64,mpfr+754,fma,30.8096,32457468,0.237,64,64,156729,0.3090
fp64,cpu-hw,fma,0.1869,5350730648,0.001,64,64,1048576,0.0125
fp64,libcft,div,2691.7782,371502,1.000,64,64,1775,0.3058
fp64,mpfr,div,9.9164,100843302,0.004,64,64,493483,0.3132
fp64,mpfr+754,div,22.7320,43990852,0.008,64,64,219104,0.3188
fp64,cpu-hw,div,0.1514,6605203184,0.000,64,64,1048576,0.0102
fp64,libcft,sqrt,3285.5499,304363,1.000,64,64,1439,0.3026
fp64,mpfr,sqrt,8.2863,120681029,0.003,64,64,579235,0.3072
fp64,mpfr+754,sqrt,22.7877,43883318,0.007,64,64,209837,0.3060
fp64,cpu-hw,sqrt,0.3098,3227706704,0.000,64,64,4194304,0.0832
fp64,libcft,add,156.1739,6403119,1.000,256,256,7954,0.3180
fp64,mpfr,add,7.4705,133859625,0.048,256,256,165976,0.3174
fp64,mpfr+754,add,19.7583,50611672,0.127,256,256,62197,0.3146
fp64,cpu-hw,add,0.1201,8329649695,0.001,256,256,4194304,0.1289
fp64,libcft,mul,121.7604,8212852,1.000,256,256,10108,0.3151
fp64,mpfr,mul,9.0581,110398430,0.074,256,256,137531,0.3189
fp64,mpfr+754,mul,21.9456,45567215,0.180,256,256,55969,0.3144
fp64,cpu-hw,mul,0.1188,8417807275,0.001,256,256,1048576,0.0319
fp64,libcft,fma,132.7095,7535257,1.000,256,256,9214,0.3130
fp64,mpfr,fma,17.8580,55997450,0.135,256,256,63822,0.2918
fp64,mpfr+754,fma,33.1085,30203716,0.249,256,256,36971,0.3134
fp64,cpu-hw,fma,0.1690,5917758780,0.001,256,256,1048576,0.0454
fp64,libcft,div,2676.1317,373674,1.000,256,256,457,0.3131
fp64,mpfr,div,12.7513,78423664,0.005,256,256,90742,0.2962
fp64,mpfr+754,div,25.9421,38547451,0.010,256,256,46743,0.3104
fp64,cpu-hw,div,0.1533,6523181850,0.000,256,256,1048576,0.0412
fp64,libcft,sqrt,3249.1206,307776,1.000,256,256,382,0.3177
fp64,mpfr,sqrt,8.2872,120667867,0.003,256,256,148166,0.3143
fp64,mpfr+754,sqrt,27.7147,36081919,0.009,256,256,44342,0.3146
fp64,cpu-hw,sqrt,0.3062,3265883067,0.000,256,256,4129033,0.3237
fp64,libcft,add,157.5856,6345758,1.000,1024,1024,1953,0.3152
fp64,mpfr,add,7.9826,125272760,0.051,1024,1024,37172,0.3038
fp64,mpfr+754,add,22.4943,44455777,0.143,1024,1024,13567,0.3125
fp64,cpu-hw,add,0.1220,8199929463,0.001,1024,1024,2483930,0.3102
fp64,libcft,mul,123.5947,8090961,1.000,1024,1024,2476,0.3134
fp64,mpfr,mul,11.7212,85315473,0.095,1024,1024,25875,0.3106
fp64,mpfr+754,mul,22.1449,45157225,0.179,1024,1024,13733,0.3114
fp64,cpu-hw,mul,0.1215,8233479730,0.001,1024,1024,2315433,0.2880
fp64,libcft,fma,135.1634,7398451,1.000,1024,1024,2283,0.3160
